utc,steptype,heatread
29/08/2017 12:57,2,172.1
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172.1
29/08/2017 12:57,2,172.1
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:58,2,172.2
29/08/2017 12:58,2,172.2
29/08/2017 12:58,2,172.2
29/08/2017 12:58,2,172.2
29/08/2017 12:58,2,172.3
29/08/2017 12:58,2,172.3
29/08/2017 12:58,2,172.4
29/08/2017 12:58,2,172.4
29/08/2017 12:58,2,172.3
29/08/2017 12:58,2,172.3
29/08/2017 12:58,2,172.4
29/08/2017 12:58,2,172.4
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,
29/08/2017 12:58,2,
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,
29/08/2017 12:58,2,
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.5
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.6
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.7
29/08/2017 12:58,2,172.8
29/08/2017 12:58,2,172.8
29/08/2017 12:58,2,172.9
29/08/2017 12:58,2,172.9
29/08/2017 12:58,2,173
29/08/2017 12:58,2,173
29/08/2017 12:58,2,173
29/08/2017 12:58,2,173
29/08/2017 12:58,2,173
29/08/2017 12:58,2,173
29/08/2017 12:58,2,173.1
29/08/2017 12:58,2,173.1
29/08/2017 12:58,2,173.1
29/08/2017 12:58,2,173.1
29/08/2017 12:59,2,
29/08/2017 12:59,2,
29/08/2017 12:59,2,173.1
29/08/2017 12:59,2,173.1
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.3
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.2
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.4
29/08/2017 12:59,2,173.6
29/08/2017 12:59,2,173.6
29/08/2017 12:59,2,173.7
29/08/2017 12:59,2,173.7
29/08/2017 12:59,2,173.8
29/08/2017 12:59,2,173.8
29/08/2017 12:59,2,173.7
29/08/2017 12:59,2,173.7
29/08/2017 12:59,2,173.8
29/08/2017 12:59,2,173.8
29/08/2017 13:00,2,173.8
29/08/2017 13:00,2,173.8
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,173.9
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.1
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:00,2,174.2
29/08/2017 13:01,2,174.2
29/08/2017 13:01,2,174.2
29/08/2017 13:01,2,174.2
29/08/2017 13:01,2,174.2
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.3
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.4
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.5
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.6
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.7
29/08/2017 13:01,2,174.8
